FID,STAID,STANAME,ST,HUC,CLASS,FLOW,STAGE,TIME,TIME_UTC,URL,DATUM,COUNT,PERCENTILE,FLOODSTAGE,POINT_X,POINT_Y
16,01019000,"Grand Lake Stream at Grand Lake Stream, Maine",me,01050001,6,767,3.43,2019-05-10 10:00:00,2019-05-10 14:00:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01019000,NAD83,89,82.42,0,-67.76888889,45.1725
17,01019300,"Lewy Lake at Princeton, Maine",me,01050001,0,0,202.43,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01019300,NAD83,0,0,0,-67.57705278,45.2256833
18,01021000,"St. Croix River at Baring, Maine",me,01050001,5,4120,7.28,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01021000,NAD83,58,67.67,0,-67.3180556,45.1369444
19,01021060,"St. Croix River at Calais, Maine",me,01050001,0,0,-9.97,2019-05-10 10:00:00,2019-05-10 14:00:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01021060,NAD83,0,0,0,-67.2834222,45.1916583
20,01021470,"Libby Brook near Northfield, Maine",me,01050002,0,14.1,1.91,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01021470,NAD83,17,52.35,0,-67.725,44.8008333
21,01021480,"Old Stream near Wesley, Maine",me,01050002,0,85.5,4.54,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01021480,NAD83,19,69.89,0,-67.7361111,44.9369444
22,01022500,"Narraguagus River at Cherryfield, Maine",me,01050002,5,674,9.51,2019-05-10 10:00:00,2019-05-10 14:00:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01022500,NAD83,70,65.05,0,-67.93527778,44.60805556
23,01022840,"Otter Creek near Bar Harbor, Maine",me,01050002,0,2.53,1.88,2019-05-10 10:25:00,2019-05-10 14:25:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01022840,NAD83,12,46.82,0,-68.2066667,44.33277778
24,01027200,"North Branch Penobscot River nr Pittston Farm, ME",me,01020001,0,1270,5.92,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01027200,NAD83,16,83.75,0,-69.9936111,45.93527778
25,01027240,"S. Br. Penobscot River nr Canada Falls Lake, Maine",me,01020001,0,1840,5.82,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01027240,NAD83,1,0,0,-69.9950083,45.8739222
26,01029200,"Seboeis River near Shin Pond, Maine",me,01020002,0,685,6.77,2019-05-10 10:00:00,2019-05-10 14:00:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01029200,NAD83,20,61.58,0,-68.6336111,46.14305556
27,01029500,"East Branch Penobscot River at Grindstone, Maine",me,01020002,5,4980,7.51,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01029500,NAD83,96,50.06,13,-68.5894444,45.73027778
28,01030350,Wytopitlock Stream near Wytopitlock Maine,me,01020003,0,96.8,3.29,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01030350,NAD83,9,41.05,0,-68.1580556,45.7086111
29,01030500,"Mattawamkeag River near Mattawamkeag, Maine",me,01020003,5,4270,8.52,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01030500,NAD83,83,39.79,13.5,-68.3058333,45.5011111
30,01031300,"Piscataquis River at Blanchard, Maine",me,01020004,0,430,5.53,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01031300,NAD83,21,59.03,11,-69.58388889,45.2672222
31,01031450,"Kingsbury Stream at Abbot Village, Maine",me,01020004,0,155,7.17,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01031450,NAD83,20,36.56,0,-69.4522222,45.1844444
32,01031500,"Piscataquis River near Dover-Foxcroft, Maine",me,01020004,5,779,3.54,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01031500,NAD83,115,36.57,11,-69.3147222,45.175
33,01031510,"Black Stream near Dover-Foxcroft, Maine",me,01020004,0,51.9,3.46,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01031510,NAD83,9,44.56,0,-69.23638889,45.15027778
34,01034000,"Piscataquis River at Medford, Maine",me,01020004,5,4410,4.91,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01034000,NAD83,86,51.26,13,-68.8686111,45.26055556
35,01034500,"Penobscot River at West Enfield, Maine",me,01020005,5,30000,9.13,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01034500,NAD83,115,66.59,18,-68.65138889,45.2361111
36,01036390,"Penobscot River at Eddington, Maine",me,01020005,0,3.7,8.21,2019-05-10 10:30:00,2002-10-01 03:45:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01036390,NAD83,18,5.26,18,-68.6966667,44.82666667
37,01037000,"Kenduskeag Stream near Bangor, Maine",me,01020005,0,403,4.69,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01037000,NAD83,19,56.27,0,-68.8316667,44.8611111
38,01037050,"Penobscot River at Bangor, Maine",me,01020005,0,0,-4.17,2019-05-10 10:06:00,2019-05-10 14:06:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01037050,NAD83,0,0,11.6,-68.76777778,44.79638889
39,01037380,"Ducktrap River near Lincolnville, Maine",me,01050002,0,31.7,2.51,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01037380,NAD83,18,62.63,0,-69.0608333,44.32916667
40,01038000,"Sheepscot River at North Whitefield, Maine",me,01050003,5,342,3.3,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01038000,NAD83,78,61.29,0,-69.59388889,44.22277778
41,01042500,"Kennebec River at The Forks, Maine",me,01030002,6,9210,6.54,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01042500,NAD83,114,84.04,0,-69.9619444,45.3397222
42,01043500,"Dead River near Dead River, Maine",me,01030002,6,4670,7.68,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01043500,NAD83,46,83.6,0,-70.20112778,45.22905
43,01044550,"Spencer Stream near Grand Falls, Maine",me,01030002,0,1210,4.88,2019-05-10 10:00:00,2019-05-10 14:00:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01044550,NAD83,18,81.65,0,-70.2416667,45.3136111
44,01046000,"Austin Stream at Bingham, Maine",me,01030003,5,280,5.54,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01046000,NAD83,47,35.96,0,-69.8805556,45.0644444
45,01046500,"Kennebec River at Bingham, Maine",me,01030003,6,16400,10.48,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01046500,NAD83,89,79.74,0,-69.8855556,45.0519444
46,01047000,"Carrabassett River near North Anson, Maine",me,01030003,5,1280,5.05,2019-05-10 10:00:00,2019-05-10 14:00:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01047000,NAD83,96,48.64,15,-69.955,44.86916667
47,01047150,"Kennebec River near Madison, Maine",me,01030003,0,17800,7.87,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01047150,NAD83,9,90,0,-69.8869444,44.77888889
48,01047200,"Sandy River near Madrid, Maine",me,01030003,0,362,6.31,2019-05-10 10:00:00,2019-05-10 14:00:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01047200,NAD83,9,90,0,-70.48527778,44.85777778
49,01048000,"Sandy River near Mercer, Maine",me,01030003,5,1450,4.84,2019-05-10 10:00:00,2019-05-10 14:00:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01048000,NAD83,81,45.45,12,-69.9375,44.70805556
50,01048220,"East Branch Wesserunsett Stream near Athens, Maine",me,01030003,0,47.2,3.29,2019-05-10 10:00:00,2019-05-10 14:00:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01048220,NAD83,9,58.25,0,-69.6569444,44.9475
51,01049265,"Kennebec River at North Sidney, Maine",me,01030003,5,20600,10.27,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01049265,NAD83,32,72.62,17,-69.68388889,44.4722222
52,01049320,"Kennebec River at Calumet Bridge at Augusta, Maine",me,01030003,0,0,5.67,2019-05-10 10:12:00,2019-05-10 14:12:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01049320,NAD83,0,0,12,-69.7716667,44.3186111
53,01049330,"Kennebec River at Hallowell, Maine",me,01030003,0,0,4.12,2019-05-10 10:48:00,2019-05-10 14:48:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01049330,NAD83,0,0,0,-69.7881944,44.28680556
54,01049500,"Cobbosseecontee Stream at Gardiner, Maine",me,01030003,6,770,5.09,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01049500,NAD83,99,81.77,0,-69.7780556,44.22916667
55,01049505,"Kennebec River at Gardiner, Maine",me,01030003,0,0,4.38,2019-05-10 10:00:00,2019-05-10 14:00:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01049505,NAD83,0,0,0,-69.7694444,44.23027778
56,01052500,"Diamond River near Wentworth Location, NH",nh,01040001,6,1860,5.59,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01052500,NAD83,76,84.08,0,-71.0575,44.8775
57,01053500,"Androscoggin River at Errol, NH",nh,01040001,7,7070,5.85,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01053500,NAD83,113,91.06,0,-71.1286111,44.7825
58,01053600,Androscoggin River below Bog Brook at Cambridge NH,nh,01040001,0,7570,4.9,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01053600,NAD83,9,90,0,-71.18138889,44.6661111
59,01054000,"Androscoggin River near Gorham, NH",nh,01040001,6,8020,6.64,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01054000,NAD83,97,81.75,8,-71.19027778,44.4358333
60,01054114,"Peabody River at Gorham, New Hampshire",nh,01040001,0,907,5.15,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01054114,NAD83,5,83.33,0,-71.1706556,44.38131944
61,01054200,"Wild River at Gilead, Maine",me,01040002,5,366,3.39,2019-05-10 10:55:00,2019-05-10 14:55:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01054200,NAD83,53,55.39,0,-70.9797222,44.39055556
62,01054300,"Ellis River at South Andover, Maine",me,01040002,5,474,8.09,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01054300,NAD83,37,54.34,0,-70.7330556,44.5933333
63,01054500,"Androscoggin River at Rumford, Maine",me,01040002,5,9990,7.1,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01054500,NAD83,116,74.5,15,-70.5441667,44.5519444
64,01055000,"Swift River near Roxbury, Maine",me,01040002,5,583,3.17,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01055000,NAD83,88,70.29,7,-70.58888889,44.64277778
65,01055500,"Nezinscot River at Turner Center, Maine",me,01040002,5,368,2.46,2019-05-10 09:45:00,2019-05-10 13:45:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01055500,NAD83,71,53.79,0,-70.2297222,44.26944444
66,01057000,"Little Androscoggin River near South Paris, Maine",me,01040002,5,175,3.46,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01057000,NAD83,96,48.97,0,-70.5397222,44.30388889
67,01059000,"Androscoggin River near Auburn, Maine",me,01040002,5,13900,6.91,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01059000,NAD83,89,69.03,13,-70.2080556,44.0722222
68,01063310,"Stony Brook at East Sebago, Maine",me,01060001,0,3.17,4.21,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01063310,NAD83,22,76.45,0,-70.6397222,43.85555556
69,01063995,"Sebago Lake near North Windham, Maine",me,01060001,0,0,266.17,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01063995,NAD83,0,0,0,-70.5061111,43.77777778
70,01064118,"Presumpscot River at Westbrook, Maine",me,01060001,0,1690,6.86,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01064118,NAD83,21,76.83,15,-70.3472222,43.68694444
71,01064500,"Saco River near Conway, NH",nh,01060002,5,2330,4.95,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01064500,NAD83,95,61.71,9,-71.0905556,43.9908333
72,01064801,"BEARCAMP RIVER AT SOUTH TAMWORTH, NH",nh,01060002,0,244,4.81,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01064801,NAD83,25,73.48,0,-71.2878488,43.83007396
73,01066000,"Saco River at Cornish, Maine",me,01060002,6,7510,7.08,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01066000,NAD83,101,78.11,0,-70.7816667,43.80805556
74,01067950,"Kennebunk River near Kennebunk, Maine",me,01060003,0,49,3.23,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01067950,NAD83,9,62.57,0,-70.5533333,43.4322222
75,01068910,"Mousam River at Route 4 near Sanford, Maine",me,01060003,0,172,2.71,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01068910,NAD83,10,83.38,0,-70.7380556,43.4183333
76,01069500,"Mousam River near West Kennebunk, Maine",me,01060003,5,300,1.72,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01069500,NAD83,54,60.88,0,-70.6583333,43.4183333
77,01069700,"Branch Brook near Kennebunk, Maine",me,01060003,0,27.1,1.98,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01069700,NAD83,8,68.73,0,-70.5833333,43.37916667
78,01072800,"COCHECO RIVER NEAR ROCHESTER, NH.",nh,01060003,0,147,3.88,2019-05-10 10:00:00,2019-05-10 14:00:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01072800,NAD83,23,58.06,0,-70.9736739,43.26841527
79,01072870,"ISINGLASS R AT ROCHESTER NECK RD, NR DOVER, NH",nh,01060003,0,129,4.7,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01072870,NAD83,14,65.49,0,-70.9564507,43.23480487
80,01073000,"OYSTER RIVER NEAR DURHAM, NH",nh,01060003,5,19.8,1.65,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01073000,NAD83,83,52,0,-70.9650603,43.1486955
81,01073319,"LAMPREY RIVER AT LANGFORD ROAD, AT RAYMOND, NH",nh,01060003,0,97.1,2.78,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01073319,NAD83,9,64.74,0,-71.2016667,43.04138889
82,01073500,"LAMPREY RIVER NEAR NEWMARKET, NH",nh,01060003,5,325,2.67,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01073500,NAD83,83,57.8,8,-70.952559,43.10258558
83,01073587,"EXETER RIVER AT HAIGH ROAD, NEAR BRENTWOOD, NH",nh,01060003,0,132,5.21,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01073587,NAD83,21,67.74,0,-71.038392,42.9845316
84,01073785,"WINNICUT RIVER AT GREENLAND, NR PORTSMOUTH, NH",nh,01060003,0,21,4.62,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01073785,NAD83,14,59.84,0,-70.8475,43.0358333
85,01074520,"EAST BRANCH PEMIGEWASSET RIVER AT LINCOLN, NH",nh,01070001,0,2020,4.83,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01074520,NAD83,25,96.15,0,-71.6598029,44.0475669
86,01075000,"PEMIGEWASSET RIVER AT WOODSTOCK, NH",nh,01070001,6,2610,5.61,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01075000,NAD83,54,88.93,9,-71.6795244,43.9761792
87,01076000,"BAKER RIVER NEAR RUMNEY, NH",nh,01070001,5,528,2.18,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01076000,NAD83,64,70.81,10,-71.8453594,43.79562647
88,01076500,"PEMIGEWASSET RIVER AT PLYMOUTH, NH",nh,01070001,5,3380,3.36,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01076500,NAD83,113,67.56,13,-71.6856337,43.7592388
89,01077400,"COCKERMOUTH RIVER BELOW HARDY BROOK, AT GROTON, NH",nh,01070001,0,109,3.13,2019-05-10 10:00:00,2019-05-10 14:00:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01077400,NAD83,8,80.31,0,-71.8333333,43.70388889
90,01078000,"SMITH RIVER NEAR BRISTOL, NH",nh,01070001,5,230,3.47,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01078000,NAD83,99,67.35,8,-71.747857,43.56646307
91,01081000,"WINNIPESAUKEE RIVER AT TILTON, NH",nh,01070002,6,1940,5.62,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01081000,NAD83,81,86.74,0,-71.5875752,43.44174376
92,01081500,"MERRIMACK RIVER AT FRANKLIN JUNCTION, NH",nh,01070002,5,5930,7.91,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01081500,NAD83,90,70.91,16,-71.6528543,43.42285456
93,01082000,"CONTOOCOOK RIVER AT PETERBOROUGH, NH",nh,01070003,5,164,2.21,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01082000,NAD83,48,66.35,5.5,-71.95924609,42.8625837
94,01085000,"CONTOOCOOK RIVER NEAR HENNIKER, NH",nh,01070003,5,875,7.25,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01085000,NAD83,40,56.58,12,-71.85730149,43.1520237
95,01085500,"CONTOOCOOK R BL HOPKINTON DAM AT W HOPKINTON, NH",nh,01070003,5,1050,3.1,2019-05-10 10:00:00,2019-05-10 14:00:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01085500,NAD83,40,73.28,0,-71.7472995,43.1928569
96,01086000,"WARNER RIVER AT DAVISVILLE, NH",nh,01070003,5,333,4.96,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01086000,NAD83,55,54.38,8,-71.7322996,43.25091159
97,01089100,"SOUCOOK RIVER, AT PEMBROKE ROAD, NEAR CONCORD, NH",nh,01070002,0,158,4.88,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01089100,NAD83,29,57.33,11,-71.4803481,43.21369248
98,01089500,"SUNCOOK RIVER AT NORTH CHICHESTER, NH",nh,01070002,5,307,3.99,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01089500,NAD83,59,58.86,7,-71.36951248,43.25674759
99,01089925,"SUNCOOK RIVER AT NH 28, NEAR SUNCOOK, NH",nh,01070002,0,480,286.31,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01089925,NAD83,2,60.64,0,-71.4059011,43.15980438
100,01091000,"SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",nh,01070002,5,226,4.31,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01091000,NAD83,47,59.18,0,-71.64146129,43.01480519
101,01091500,"PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",nh,01070002,5,415,4.8,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01091500,NAD83,39,55.62,9,-71.5506252,43.01675
102,01092000,"MERRIMACK R NR GOFFS FALLS, BELOW MANCHESTER, NH",nh,01070002,5,9500,6.44,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01092000,NAD83,81,65.32,11,-71.4634002,42.9481405
103,01093852,"SOUHEGAN RIVER (SITE WLR-1) NEAR MILFORD, NH",nh,01070002,0,264,4.54,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01093852,NAD83,10,67.56,9,-71.7067399,42.8425858
104,01094000,"SOUHEGAN RIVER AT MERRIMACK, NH",nh,01070002,5,423,3.78,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/nh/nwis/uv?site_no=01094000,NAD83,83,66.73,9,-71.5061785,42.8575865
105,01094400,"NORTH NASHUA RIVER AT FITCHBURG, MA",ma,01070004,5,135,3.12,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/ma/nwis/uv?site_no=01094400,NAD83,45,55.56,6.5,-71.7881285,42.57620079
106,01094500,"NORTH NASHUA RIVER NEAR LEOMINSTER, MA",ma,01070004,5,241,3.07,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/ma/nwis/uv?site_no=01094500,NAD83,82,58.47,0,-71.7219333,42.49506389
107,01095220,"STILLWATER RIVER NEAR STERLING, MA",ma,01070004,0,68,5,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/ma/nwis/uv?site_no=01095220,NAD83,24,66.9,0,-71.7911829,42.41092507
108,01095375,"QUINAPOXET RIVER AT CANADA MILLS NEAR HOLDEN, MA",ma,01070004,0,99.6,7.77,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/ma/nwis/uv?site_no=01095375,NAD83,21,81.78,0,-71.8281279,42.37286967
