id_cdec,basin_cdec,group_cdec,lat_cdec,lon_cdec,nearby_cty_cdec,gage_oper_cdec,data_collect_cdec,county_cdec,name_cdec,gelev_ft_cdec
LWS,Trinity R,North Coast,40.71931076,-122.8036346,Lewiston,USGS & USBR,,Trinity,Lewiston (water Quality),1830
NTR,Trinity R,North Coast,40.782,-123.127,Helena,USGS & USBR,,Trinity,Nf Trinity River At Helena,1345
RCL,Trinity R,North Coast,40.725,-122.834,Lewiston,USGS & USBR,,Trinity,Rush Creek Near Lewiston,1700
TBH,Trinity R,North Coast,40.6498642,-123.4942017,Hyampom,USGS,,Humboldt,South Fork Trinity River Below Hyampom,12
TRC,Trinity R,North Coast,41.11125565,-122.7055817,Trinity Center,USGS,,Trinity,Trinity R Abv Coffee Cr Nr Trinity Ctr,2537
NFH,Trinity R,North Coast,40.7665329,-123.1144791,Helena,USGS & USBR,,Trinity,Trinity R Abv Nf Trinity Nr Helena,1410
TJC,Trinity R,North Coast,40.72847748,-123.0619736,Junction City,USGS,,Trinity,Trinity R At Junction City,1445
DGC,Trinity R,North Coast,40.64527893,-122.956665,Douglas City,USGS & USBR,,Trinity,Trinity River At Douglas City,1600
HPA,Trinity R,North Coast,41.04985046,-123.6736679,Hoopa,USGS & DWR,,Humboldt,Trinity River At Hoopa,330
TLK,Trinity R,North Coast,40.673,-122.919,Douglas City,USGS & USBR,,Trinity,Trinity River Below Limekiln Gulch,1650
TBR,Trinity R,North Coast,40.78874969,-123.4400406,Burnt Ranch,USGS,,Trinity,Trinity River Near Burnt Ranch,944
OKN,Redwood Cr,North Coast,40.9059639,-123.8153381,Arcata,USGS & DWR,,Humboldt,O'kane (blue Lake),850
ORK,Redwood Cr,North Coast,41.2992897,-124.0511856,Orick,USGS & DWR,,Humboldt,Redwood Creek At Orick,36
MRF,Mad R,North Coast,40.2843132,-123.3353043,Forest Glen,USGS,,Trinity,Mad R Abv Ruth Reservoir Nr Forest Glen,2700
ARC,Mad R,North Coast,40.90985107,-124.0606155,Arcata,USGS & DWR,,Humboldt,Mad River Near Arcata,33
FSW,Eel R,North Coast,40.21820068,-123.6325302,Fort Seward,USGS & DWR,,Humboldt,Eel River At Fort Seward,320
SCO,Eel R,North Coast,40.49152374,-124.0997696,Scotia,USGS & DWR,,Humboldt,Eel River At Scotia,160
EVA,Eel R,North Coast,39.3886,-123.115,Potter Valley,PG&E,,Mendocino,Eel River Below Van Arsdale Dam 24hr Avg,1400
MRD,Eel R,North Coast,40.18180847,-123.7761459,Miranda,USGS & DWR,,Humboldt,Eel River Sf Nr Miranda (at Sylvandale),218
LRT,Eel R,North Coast,41.00984955,-124.081459,Trinidad,USGS,,Humboldt,Little River Near Trinidad,18
DOS,Eel R,North Coast,39.70626831,-123.3252945,Laytonville,USGS,,Mendocino,Middle Fork Eel River Near Dos Rios,900
LEG,Eel R,North Coast,39.87459564,-123.7205811,Garberville,USGS & DWR,,Mendocino,South Fork Eel River At Leggett,747
BRI,Van Duzen R,North Coast,40.48041534,-123.8908768,Scotia,USGS & DWR,,Humboldt,Van Duzen R Nr Bridgeville At Grizzly Cr,358
MRE,Mattole R,North Coast,40.13930893,-123.9914246,Ettersburg,USGS,,Humboldt,Mattole River Near Ettersburg,626
PTA,Mattole R,North Coast,40.31319046,-124.2833786,Rio Dell,USGS,,Humboldt,Mattole River Near Petrolia,40
DGY,Russian R,North Coast,38.6986,-122.9569,Geyserville,USACE,,Sonoma,Dry Ck Nr Geyserville,156
DRY,Russian R,North Coast,38.58740997,-122.8622131,Healdsburg,USGS,,Sonoma,Dry Creek Near Healdsburg,90
CDM,Russian R,North Coast,39.1975,-123.1864,Ukiah,USACE,,Mendocino,Ef Russian R Blw Coyote Dam,614
RRU,Russian R,North Coast,39.1956,-123.1939,Ukiah,USACE,Satellite,Mendocino,Russian R Nr Ukiah,599
CLV,Russian R,North Coast,38.87934875,-123.0536118,Cloverdale,DWR/Flood Management,,Mendocino,Russian River At Cloverdale,107
HAC,Russian R,North Coast,38.50852203,-122.9277725,Hacienda,USGS & DWR,,Sonoma,Russian River Near Hacienda Bridge,20
HEA,Russian R,North Coast,38.6132431,-122.83638,Healdsburg,USGS & DWR,,Sonoma,Russian River Near Healdsburg,108
HOP,Russian R,North Coast,39.02656174,-123.1305618,Hopland,USGS/USACE,,Mendocino,Russian River Near Hopland,498
NRN,Navarro River,North Coast,39.17045593,-123.6680679,Navarro,USGS,,Mendocino,Navarro River Near Navarro,5
NAP,Napa R,San Francisco Bay,38.36824417,-122.3033066,Napa,USGS & DWR,,Napa,Napa River Near Napa,25
STH,Napa R,San Francisco Bay,38.51129913,-122.4558105,St Helena,USGS,,Napa,Napa River Near St Helena,195
AVL,East Bay,San Francisco Bay,37.62326431,-121.7588425,Livermore,USGS,,Alameda,Arroyo Valle Nr Livermore,510
SRN,East Bay,San Francisco Bay,37.77306,-121.99361,San Ramon,USGS,Satellite,Contra Costa,San Ramon Ck At San Ramon,530
ALN,Alameda Cr,San Francisco Bay,37.5871582,-121.9607925,Niles,USGS,,Alameda,Alameda Ck Nr Niles,86
GRJ,Guadalupe R,San Francisco Bay,37.37382889,-121.9330139,San Jose,USGS,,Santa Clara,Guadalupe R Abv Hwy 101 At San Jose,72
GUD,Guadalupe R,San Francisco Bay,37.280748,-121.880233,San Jose,Santa Clara Valley Water District,Satellite,Santa Clara,Guadalupe R-san Jose At Almaden Expressw,150
SBH,San Benito R,Central Coast,36.85189819,-121.4299393,Hollister,USGS,,San Benito,San Benito R At Hwy 156 Near Hollister,260
CHT,Pajaro R,Central Coast,36.90023041,-121.5977249,Chittenden,USGS & DWR,,Santa Cruz,Pajaro River At Chittenden,82
ASS,Salinas R,Central Coast,36.28052139,-121.3227081,Soledad,USGS,,Monterey,Arroyo Seco Nr Soledad,399
EST,Salinas R,Central Coast,35.717,-120.639,Paso Robles,USGS & DWR,,San Luis Obispo,Estrella River Near Estrella,672
PAS,Salinas R,Central Coast,35.628582,-120.6843338,Paso Robles,USGS & DWR,,San Luis Obispo,Salinas River At Paso Robles,700
BRA,Salinas R,Central Coast,35.93024445,-120.8687897,Bradley,USGS & DWR,,Monterey,Salinas River Near Bradley,443
SPR,Salinas R,Central Coast,36.63106918,-121.6724472,Salinas,USGS & DWR,,Monterey,Salinas River Near Spreckels,53
GRY,Sisquoc R,Central Coast,34.83970261,-120.1682053,Garey,USGS,Satellite,Santa Barbara,Sisquoc River At Garey,354
CSK,Santa Clara R,South Coast,34.6061,-118.6656,Castaic,DWR/O&M Southern Field Division,,Los Angeles,Castaic Canyon Ck Z3-2388,1651
ECC,Santa Clara R,South Coast,34.576,-118.556,Castaic,DWR/O&M Southern Field Division,,Los Angeles,Elizabeth Canyon Ck,1680
FCK,Santa Clara R,South Coast,34.60306,-118.66083,Castaic,DWR/O&M Southern Field Division,Satellite,Los Angeles,Fish Canyon Ck,1647
ELF,Santa Clara R,Central Coast,34.403526,-118.739143,Piru,USGS,Satellite,Ventura,Santa Clara R At E La Falda Wy Nr Piru,710
SSP,Santa Clara R,South Coast,34.44166183,-118.9273224,Fillmore,USGS,,Ventura,Sespe Creek Nr Fillmore,565
PIR,Piru Cr,South Coast,34.665,-118.823,Fillmore,DWR,,Ventura,Piru Creek Blw Buck Cr Nr Pyramid Lake,2600
FSN,San Diego R,South Coast,32.76504898,-117.1686478,San Diego,San Diego County,,San Diego,San Diego River At Fashion Valley,30
BAT,Sacramento R,Sacramento River,40.39820862,-122.1463852,Red Bluff,USGS & DWR,,Tehama,Battle Creek,200
BIC,Sacramento R,Sacramento River,39.76841736,-121.7786026,Chico,DWR/North Region ,,Butte,Big Chico Creek Near Chico,274
BSL,Sacramento R,Sacramento River,39.17147446,-121.9016495,Meridian,DWR/North Region ,,Sutter,Butte Slough Nr Meridian,13
IGO,Sacramento R,Sacramento River,40.51320648,-122.5241776,Redding,USGS & USBR,,Shasta,Clear Creek Near Igo,673
CDR,Sacramento R,Sacramento River,39.19551086,-122.0605164,Colusa,DWR/North Region ,,Colusa,Colusa Drain Nr Hwy 20,60
COW,Sacramento R,Sacramento River,40.50487518,-122.2330551,Redding,USGS & DWR,,Shasta,Cow Creek Near Millville,385
DVD,Sacramento R,Sacramento River,39.96361542,-122.0343628,Vina,DWR/North Region ,,Tehama,Deer Creek Below Stanford Vina Dam,335
DCV,Sacramento R,Sacramento River,40.01404572,-121.9483185,Vina,USGS,,Tehama,Deer Creek Nr Vina,479
DLC,Sacramento R,Sacramento River,38.245,-121.505,Walnut Grove,USGS,,Sacramento,Delta Cross Channel Btw Sac R & Snodgras,10
ECP,Sacramento R,Sacramento River,40.02376556,-122.5119476,Paskenta,USGS,,Tehama,Elder Creek Near Paskenta,718
GSS,Sacramento R,Sacramento River,38.237,-121.518,Walnut Grove,USGS,,Sacramento,Georgiana Slough At Sacramento River,10
KCK,Sacramento R,Sacramento River,39.00839996,-122.8392181,Kelseyville,DWR/North Region ,,Lake,Kelsey Ck Blw Kelseyville,1345
LIB,Sacramento R,Sacramento River,38.2421,-121.6849,Rio Vista,USGS,,Solano,Liberty Island @ Approx Cntr S End,0
LCH,Sacramento R,Sacramento River,39.74916077,-121.8688965,Chico,DWR/North Region ,,Butte,Lindo Channel Nr Chico,183
MCU,Sacramento R,Sacramento River,39.18255234,-122.9118423,Upper Lake,DWR/North Region ,Satellite,Lake,Middle Ck Nr Upper Lake,1360
MCH,Sacramento R,Sacramento River,40.04005814,-122.1046295,Los Molinos,DWR/North Region ,,Tehama,Mill Creek Below Hwy 99,230
MLM,Sacramento R,Sacramento River,40.05460358,-122.0241547,Los Molinas,USGS,,Tehama,Mill Creek Nr Los Molinos,385
HWB,Sacramento R,Sacramento River,38.2917,-121.6308,Oxford,USGS,,Solano,Miner Slough At Hwy 84 Bridge,0
MIR,Sacramento R,Sacramento River,38.236027,-121.666055,Rio Vista,DWR/North Central Region ,Data Xchg-dwr Ncro,Solano,Miner Slough Near Sacramento River,5
MFR,Sacramento R,Sacramento River,38.4985199,-121.4527283,Florin,USGS,,Sacramento,Morrison Creek At Florin Road,20
MUC,Sacramento R,Sacramento River,39.78335571,-121.8867188,Chico,DWR/North Region ,,Butte,Mud Creek Near Chico,170
NSL,Sacramento R,Sacramento River,38.1221,-121.8881,Bird's Landing,DWR/Division of Environmental Service,,Solano,National Steel,0
BTW,Sacramento R,Sacramento River,40.4204,-121.961233,Manton,PG&E,Data Xchg-pge,Tehama,Nf Battle Ck Blw Div To Wildcat Canal,1200
BNF,Sacramento R,Sacramento River,40.42433167,-121.9869461,Cottonwood,DWR/North Region ,,Tehama,North Fork Battle Creek Near Manton,998
RCS,Sacramento R,Sacramento River,38.79355621,-121.7253494,Knights Landing,DWR/North Central Region ,,Yolo,Ridge Cut Slough At Knights Landing,0
DWS,Sacramento R,Sacramento River,38.25611,-121.66667,West Sacramento,USGS,,Yolo,Sacramento Deep Water Shipping Channel,0
FRE,Sacramento R,Sacramento River,38.75925827,-121.6672745,Woodland,DWR/North Central Region ,,Yolo,Sacramento R @ Fremont Weir(crest 32.0'),40
SDC,Sacramento R,Sacramento River,38.257,-121.518,Walnut Grove,USGS,,Sacramento,Sacramento R Above Delta Cross Channel,10
HMC,Sacramento R,Sacramento River,39.75092316,-121.997879,Hamilton City,DWR/North Region ,,Glenn,Sacramento R At Hamilton City-main Ch,145
ORD,Sacramento R,Sacramento River,39.62813187,-121.9931793,Chico,DWR/North Region ,,Glenn,Sacramento R At Ord Ferry-main Channel,115
SOI,Sacramento R,Sacramento River,38.17548,-121.656863,Rio Vista,DWR/North Central Region ,Data Xchg-dwr Ncro,Sacramento,Sacramento R Downstream Of Isleton,5
BND,Sacramento R,Sacramento River,40.28848648,-122.1866608,Red Bluff,USGS & USBR,,Tehama,Sacramento River At Bend Bridge,286
BTC,Sacramento R,Sacramento River,39.45783997,-121.9941635,Butte City,DWR/North Region ,,Glenn,Sacramento River At Butte City,99
COL,Sacramento R,Sacramento River,39.21405792,-122.0002518,Colusa,USGS & DWR,,Colusa,Sacramento River At Colusa,-3
DLT,Sacramento R,Sacramento River,40.93959427,-122.4172363,Delta,USGS & USBR,,Shasta,Sacramento River At Delta,1075
FPT,Sacramento R,Sacramento River,38.45,-121.5,Freeport,USGS,,Sacramento,Sacramento River At Freeport,0
IST,Sacramento R,Sacramento River,38.58867264,-121.5049667,Sacramento,DWR/North Central Region ,Satellite,Sacramento,Sacramento River At I Street Bridge,27
KWK,Sacramento R,Sacramento River,40.60098267,-122.444458,Redding,USGS & USBR,,Shasta,Sacramento River At Keswick,596
SRV,Sacramento R,Sacramento River,38.16,-121.686,Rio Vista,USGS,,Solano,Sacramento River At Rio Vista (usgs),0
VON,Sacramento R,Sacramento River,38.77415466,-121.5980682,Verona,USGS & DWR,,Sutter,Sacramento River At Verona,43
VIN,Sacramento R,Sacramento River,39.90873718,-122.0924683,Corning,DWR/North Region ,,Tehama,Sacramento River At Vina Bridge-main Ch,185
GES,Sacramento R,Sacramento River,38.2389,-121.5234,Walnut Grove,USGS,,Sacramento,Sacramento River Below Georgiana Slough,0
WLK,Sacramento R,Sacramento River,39.00989532,-121.8246918,Yuba City,USGS,,Sutter,Sacramento River Below Wilkins Slough,30
SCS,Sacramento R,Sacramento River,39.09544754,-122.9610443,Lakeport,DWR/North Region ,,Lake,Scotts Ck Nr Lakeport,1400
BTB,Sacramento R,Sacramento River,40.40251,-121.969078,Dales,PG&E,Data Xchg-pge,Tehama,Sf Battle Ck Blw Div To Coleman Canal,1160
SGG,Sacramento R,Sacramento River,38.3183333,-121.6930556,Courtland,USGS,Data Xchg-usgs,Solano,Shag Slough,0
BAS,Sacramento R,Sacramento River,40.40580368,-121.9806747,Manton,DWR/North Region ,,Tehama,South Fork Battle Creek Near Manton,997
SSS,Sacramento R,Sacramento River,38.285,-121.587,Oxford,USGS,,Sacramento,Steamboat Slough Btw Sac R And Sutter Sl,10
SXS,Sacramento R,Sacramento River,38.191267,-121.637881,Rio Vista,DWR/North Central Region ,Data Xchg-dwr Ncro,Sacramento,Steamboat Slough Nr Sacramento R,5
SUT,Sacramento R,Sacramento River,38.3286,-121.5772,Courtland,USGS,,Sacramento,Sutter Slough At Courtland,0
THO,Sacramento R,Sacramento River,39.88784027,-122.5285645,Paskenta,DWR/North Region ,,Tehama,Thomes Creek At Paskenta,720
TSL,Sacramento R,Sacramento River,38.1033,-121.6861,Antioch,USGS & DWR,,Sacramento,Threemile Slough At San Joaquin River,10
WSL,Sacramento R,Sacramento River,38.91458893,-121.6275558,Nicolaus,DWR/North Region ,,Sutter,Willow Slough At Sb West Burrow Pit,28
LIS,Sacramento R,Sacramento River,38.47478104,-121.5882263,Freeport,DWR/North Central Region ,,Yolo,Yolo Bypass At Lisbon,0
YBY,Sacramento R,Sacramento River,38.67768097,-121.6441269,Yolo,USGS,,Yolo,Yolo Bypass Near Woodland,-3
MCA,Mc Cloud R,Sacramento River,41.1105,-122.0967,Dunsmuir,PG&E,,Shasta,Mccloud R At Ah-di-na,2130
MSS,Mc Cloud R,Sacramento River,40.958,-122.219,Redding,PG&E,,Shasta,Mccloud River Above Shasta Lake,1100
MC7,Mc Cloud R,Sacramento River,41.122349,-122.064163,Mccloud,PG&E,Data Xchg-pge,Shasta,Mccloud River Below Mccloud Dam,2400
MCD,Mc Cloud R,Sacramento River,41.186,-122.059,Mccloud,PG&E,,Siskiyou,Mccloud River Near Mccloud,2711
PRB,Pit R,Sacramento River,41.02,-121.909,Big Bend,PG&E,,Shasta,Ph-27 Pit River At Big Bend,1680
PR4,Pit R,Sacramento River,40.975,-121.779,Burney,PG&E,,Shasta,Ph-30 Pit River Blw Pit No 4 Dam,2360
PP1,Pit R,Sacramento River,40.98321915,-121.5119247,Fall River Mills,USGS,,Shasta,Pit R Below Pit #1 Ph Near Fall R Mills,2798
P35,Pit R,Sacramento River,41.021294,-121.675692,Burney,PG&E,Data Xchg-pge,Shasta,Pit River Below Lake Britton,2750
PCN,Pit R,Sacramento River,41.40600204,-120.927742,Canby,USGS,,Modoc,Pit River Near Canby,4266
PMN,Pit R,Sacramento River,40.843,-122.016,Burney,USBR,,Shasta,Pit River Near Montgomery Creek,1036
PLK,Pit R,Sacramento River,41.23072815,-120.4371719,Likely,USGS,,Modoc,Sf Pit River Near Likely,4508
HCB,Hat Cr,Sacramento River,40.86252213,-121.5523071,Burney,DWR/North Region ,,Shasta,Hat Ck Blw Hat Ck,3284
HCN,Hat Cr,Sacramento River,40.6891098,-121.4227829,Burney,DWR/North Region ,,Shasta,Hat Ck Nr Hat Ck,4274
CHC,Cottonwood Cr,Sacramento River,39.46470261,-121.7447357,Richvale,DWR/North Region ,,Butte,Cherokee Canal Nr Richvale,106
CWA,Cottonwood Cr,Sacramento River,40.38709641,-122.2386093,Cottonwood,USGS,,Tehama,Cottonwood Creek Auxiliary Gage,364
BCK,Butte Cr,Sacramento River,39.72599411,-121.7088623,Chico,USGS,,Butte,Butte Creek Nr Chico,300
BCD,Butte Cr,Sacramento River,39.67801285,-121.7774811,Durham,DWR/North Region ,,Butte,Butte Creek Nr Durham,190
BBW,Butte Cr,Sacramento River,39.88573074,-121.6103287,Chico,DWR/North Region ,,Butte,Bw-12 Import To Butte Creek,2882
BPD,Butte Cr,Sacramento River,39.70890427,-121.7541885,Chico,DWR/North Region ,,Butte,Parrot Div From Butte Creek,269
RBW,Stony Cr,Sacramento River,39.371,-122.605,Colusa,USBR,,Colusa,Rainbow Diversion Dam,1297
SCG,Stony Cr,Sacramento River,39.73181,-122.413997,Orland,USBR,Satellite,Glenn,Stony Ck Nr Grizzly Flat (co Rd 200a),496
FSB,Feather R,Sacramento River,39.04549789,-121.6104355,Yuba City,DWR/North Central Region ,,Sutter,Feather R At Boyd's Lndng Abv Star Bend,50
MER,Feather R,Sacramento River,39.709,-121.27,Oroville,DWR/Operations & Maintenance,,Butte,Feather River At Merrimac,1560
GRL,Feather R,Sacramento River,39.36657715,-121.6473694,Gridley,DWR/Operations & Maintenance,,Butte,Feather River Near Gridley,92
ICR,Feather R,Sacramento River,40.056,-120.962,Crescent Mills,DWR,,Plumas,Indian Creek Below Indian Falls,3100
MFP,Feather R,Sacramento River,39.81895065,-120.4448776,Portola,DWR/North Region ,,Plumas,Middle Fork Feather River Near Portola,4850
NHC,Feather R,Sacramento River,39.309308,-121.59518,Live Oak,DWR/North Central Region ,Satellite,Yuba,N Honcut Ck At Hwy 70,74
F70,Feather R,Sacramento River,40.071388,-121.163612,Belden,PG&E,Data Xchg-pge,Plumas,Nf Feather R Below Belden Dam,2811
F56,Feather R,Sacramento River,39.852501,-121.391388,Storrie,PG&E,Data Xchg-pge,Butte,Nf Feather R Bl Grizzly Creek,1465
F57,Feather R,Sacramento River,39.979721,-121.275833,Belden,PG&E,Data Xchg-pge,Plumas,Nf Feather R Bl Rock Creek Div Dam,2080
NFP,Feather R,Sacramento River,39.794,-121.451,Pulga,PG&E,Data Xchg-pge,Butte,North Fork Feather River At Pulga,1305
SFH,Feather R,Sacramento River,39.36824036,-121.3718796,Bangor,DWR/North Central Region ,,Butte,South Honcut Creek Near Bangor,630
SPK,Feather R,Sacramento River,40.00294876,-120.9543991,Quincy,USGS,,Plumas,Spanish Ck Abv Blackhawk Ck At Keddie,3130
WFR,Feather R,Sacramento River,39.81398392,-121.5711823,Magalia,DWR/North Region ,,Butte,West Branch Feather River Near Magalia,1380
DCS,Yuba R,Sacramento River,39.22433853,-121.2685699,Smartville,USGS,,Nevada,Deer Creek Nr Smartville,630
ORH,Yuba R,Sacramento River,39.412,-120.997,North San Juan,Yuba County,,Yuba,Middle Yuba River Below Our House Dam,1958
GYB,Yuba R,Sacramento River,39.52489471,-120.9380035,Downieville,USGS,,Sierra,N Yuba R Blw Goodyears Bar,2453
NYS,Yuba R,Sacramento River,39.5247,-121.0906,Strawberry,Yuba County Water Agency,,Yuba,N Yuba R. Abv Slate Ck Nr Strawberry,2000
LCB,Yuba R,Sacramento River,39.445,-121.058,North San Juan,Yuba County,,Yuba,Oregon Creek Below Log Cabin,1913
JBR,Yuba R,Sacramento River,39.292,-121.104,North San Juan,Yuba County,,Nevada,Yuba River At Jones Bar,1060
YPB,Yuba R,Sacramento River,39.2306,-121.2817,Smartville,DWR,,Yuba,Yuba River At Parks Bar Bridge,0
MRY,Yuba R,Sacramento River,39.17572403,-121.5249634,Marysville,USGS,,Yuba,Yuba River Near Marysville,88
YRS,Yuba R,Sacramento River,39.23517227,-121.2741241,Smartville,PG&E,,Yuba,Yuba River Near Smartville,280
BPG,Bear R,Sacramento River,38.98409653,-121.4879761,Pleasant Grove,DWR/North Region ,,Sutter,Bear River At Pleasant Grove Rd,75
BRW,Bear R,Sacramento River,38.99992752,-121.4073105,Wheatland,USGS & DWR,,Placer,Bear River Near Wheatland,72
CBR,American R,Sacramento River,38.772,-120.816,Placerville,"Pacific Gas & Electric Company, Auburn",,El Dorado,American River At Chili Bar,931
AFO,American R,Sacramento River,38.6354599,-121.2277298,Fair Oaks,USGS,,Sacramento,American River At Fair Oaks,72
AMK,American R,Sacramento River,38.764,-120.325,Kyburz,USGS,,El Dorado,American Sf Nr Kyburz,3840
ACK,American R,Sacramento River,38.6416,-121.3825,Sacramento,USGS,,Sacramento,Arcade Ck Nr Del Paso Hts,50
LON,American R,Sacramento River,38.983,-120.323,Meeks Bay,SMUD,,El Dorado,Loon Lake (smud),6410
OXB,American R,Sacramento River,39.006,-120.76,Foresthill,PCWA,,Placer,Middle Fk American R Nr Oxbow Ph,1070
NFD,American R,Sacramento River,38.93600845,-121.0238342,Auburn,USGS,,Placer,Nf American R At North Fork Dam,715
RBG,American R,Sacramento River,38.955,-120.401,Kyburz,SMUD,Data Xchg-smud,El Dorado,Sf Rubicon River Below Gerle Ck,4970
SVC,American R,Sacramento River,38.824,-120.538,Pollock Pines,SMUD,,El Dorado,Silver Cr Blw Camino Dam,1863
BRK,Cache Cr,Sacramento River,38.95755386,-122.3427505,Rumsey,USGS,,Colusa,Bear Ck Ab Holsten Cyn Nr Rumsey,920
RUM,Cache Cr,Sacramento River,38.89,-122.238,Woodland,USGS & DWR,,Yolo,Cache Creek At Rumsey Bridge,400
CCY,Cache Cr,Sacramento River,38.72663498,-121.8071518,Yolo,USGS,,Yolo,Cache Creek At Yolo,86
RYF,Cache Cr,Sacramento River,38.193854,-121.658005,Rio Vista,USGS,Data Xchg-usgs,Solano,Cache Slough Above Ryer Island Ferry,2
NCL,Cache Cr,Sacramento River,39.16556,-122.61889,Clearlake Oaks,USGS,Satellite,Lake,N Fk Cache Ck Nr Clearlake Oaks 8ne,1840
NFC,Cache Cr,Sacramento River,39.16544724,-122.6199875,,USGS,,Lake,N Fork Cache Creek At Hough Springs,1534
PCG,Putah Cr,Sacramento River,38.77878952,-122.5174789,Coyote Valley,USGS,,Lake,Putah Creek Near Guenoc,914
PUT,Putah Cr,Sacramento River,38.51518631,-122.0819168,Winters,USGS,,Yolo,Putah Creek Near Winters,161
FAL,Delta,San Joaquin River,38.0558,-121.6669,Oakley,USGS & DWR,,Contra Costa,False River Near Oakley,0
JTR,Delta,San Joaquin River,37.9224,-121.5182,Stockton,DWR/North Central Region ,,San Joaquin,Jones Tract,-19
MDM,Delta,San Joaquin River,37.943,-121.534,Knightsen,USGS,,San Joaquin,Middle River At Middle River,10
OMR,Delta,San Joaquin River,37.97,-121.5711,,DWR/Operations & Maintenance,Computed,San Joaquin,Old & Middle Rvrs Tidally Filtered Est,10
OBI,Delta,San Joaquin River,37.96936798,-121.5722198,Brentwood,USGS & DWR,,San Joaquin,Old River At Bacon Island (usgs),10
ODM,Delta,San Joaquin River,37.8102951,-121.5421448,Tracy,USGS & DWR,,San Joaquin,Old River At Delta Mendota Canal,10
OSJ,Delta,San Joaquin River,38.0711,-121.5789,Terminous,USGS & DWR,,San Joaquin,Old River At Franks Tract Near Terminous,0
OH4,Delta,San Joaquin River,37.891109,-121.569168,Byron,USGS,,Contra Costa,Old River At Highway 4,10
OLD,Delta,Sacramento River,37.80480957,-121.4495621,Tracy,DWR/Operations & Maintenance,,San Joaquin,Old River Near Tracy,5
VCU,Delta,San Joaquin River,37.8717,-121.5283,Stockton,USGS & DWR,,San Joaquin,Victoria Canal Near Byron,0
CMF,Cosumnes R,San Joaquin River,38.6245079,-120.7024536,Somerset,DWR/North Central Region ,,El Dorado,Cosumnes R Mid Fork Nr Somerset,1648
CNF,Cosumnes R,San Joaquin River,38.58903122,-120.8444901,El Dorado,DWR/North Central Region ,,El Dorado,Cosumnes R N Fork Nr El Dorado,840
MHB,Cosumnes R,San Joaquin River,38.50018692,-121.0452194,Jackson,USGS,,Sacramento,Cosumnes River At Michigan Bar,168
MOK,Mokelumne R,San Joaquin River,38.1061,-121.5711,Isleton,USGS & DWR,,San Joaquin,Mokelumne R At San Joaquin River,0
M38,Mokelumne R,San Joaquin River,38.446667,-120.489166,West Point,PG&E,Data Xchg-pge,Amador,Nf Mokelumne R Ab Tiger Creek,2338
M46,Mokelumne R,San Joaquin River,38.420834,-120.548889,West Point,PG&E,Data Xchg-pge,Amador,Nf Mokelumne R Bl Electra Diversion,1980
M11,Mokelumne R,San Joaquin River,38.49361,-120.220001,Pioneer,PG&E,Data Xchg-pge,Calaveras,Nf Mokelumne R Bl Salt Springs Dam,3590
MBT,Mokelumne R,San Joaquin River,38.440277,-120.503891,West Point,PG&E,Data Xchg-pge,Amador,Nf Mokelumne R Bl Tiger Creek Afterbay,2220
MRS,Calaveras R,San Joaquin River,38.054,-121.012,Bellota,USACE,,Calaveras,Mormon Slough At Bellota (usace),130
BCC,Stanislaus R,San Joaquin River,37.96103668,-120.6152039,Copperopolis,USGS,,Calaveras,Black Creek Nr Copperopolis,746
